Tags,VR,Name,Status,Action,Option
"(0010,0010)",PN,PatientName,,replaceWithRandomName,
"(0010,0020)",LO,PatientID,,hashId,
"(0010,0030)",DA,PatientBirthDate,,shiftDateByRandomNbOfDays,
"(0010,0040)",CS,PatientSex,,remove,
"(0010,1040)",LO,PatientAddress,,remove,
"(0010,2154)",SH,PatientTelephoneNumbers,,remove,
"(0008,0050)",SH,AccessionNumber,,hashId,
"(0008,0020)",DA,StudyDate,,shiftDateByRandomNbOfDays,
"(0008,0030)",TM,StudyTime,,shiftTimeByRandom,
"(0008,0080)",LO,InstitutionName,,remove,
"(0008,0090)",PN,ReferringPhysicianName,,replaceWithRandomName,
"(0020,000D)",UI,StudyInstanceUID,,hashId,
"(0020,000E)",UI,SeriesInstanceUID,,hashId,
"(0008,0018)",UI,SOPInstanceUID,,hashId,
"(0008,1030)",LO,StudyDescription,,remove,
"(0008,103E)",LO,SeriesDescription,,remove,
"(0010,4000)",LT,PatientComments,,remove,
"(0020,4000)",LT,ImageComments,,remove,
"(0042,0010)",ST,DocumentTitle,,remove,
"(7777,1002)",LT,PrivateFreeText,,remove,
"(7777,1003)",PN,PrivatePersonName,,remove,
"(7777,1004)",DA,PrivateDate,,shiftDateByRandomNbOfDays,
"(7777,1005)",TM,PrivateTime,,shiftTimeByRandom,
"(7777,1006)",UL,PrivateUnixTimestamp,,remove,
